Country,Suicide Rate 2016,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities,Psychiatrists,Nurses,Social_workers,Psychologists,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Threatened species (number),Forested area (% of land area),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Net Official Development Assist. received (% of GNI),Labour force participation (fe pop. %),Labour force participation (male pop. %),Life expectancy at birth (females years),"Life expectancy at birth (males, years)","Population age distribution (0-14 years, %)","Population age distribution (60+ years, %)",Education: Priary gross enrol. ratio (f per 100 pop.),Education: Primary gross enrol. ratio (m per 100 pop.),Education: Secondary gross enrol. ratio (f per 100 pop.),Education: Secondary gross enrol. ratio (m per 100 pop.),Education: Tertiary gross enrol. ratio (f per 100 pop.),Education: Tertiary gross enrol. ratio (m per 100 pop.),CO2 emission estimates (million tons),CO2 emission estimates (tons per capita),Pop. using improved drinking water (urban %),"Pop. using improved drinking water (rural, %)",Pop. using improved sanitation facilities (urban %),"Pop. using improved sanitation facilities (rural, %)"
Bhutan,11.6,,0.127,3.556,,,0.508,0.127,,,SouthernAsia,38394.0,808.0,21.2,113.1,2074.0,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98.0,98.0,616.0,1688.0,-1072.0,-579.0,1.6,38.6,3.7,2.2,,,30.5,3.6,0.3,7.4,8.5,39.8,71.0,72.0,75.0,82.0,5.26,0.594,0.735,0.6890000000000001,0.6859999999999999,0.265,0.073,0.969,0.966,0.871,0.8140000000000001,0.092,0.126,0.01,0.013,1.0,1.0,0.779,0.331
Bolivia (Plurinational State of),12.9,0.075,0.009000000000000001,0.009000000000000001,,,1.128,,,,SouthAmerica,1098581.0,11052.0,10.2,100.2,32998.0,4.8,3076.8,12.6,31.0,56.5,29.5,21.1,49.4,3.8,142.0,143.0,6969.0,8374.0,-1405.0,-1854.0,1.6,68.5,2.3,3.0,,0.8,42.9,6.3,0.5,7.3,53.1,45.1,231.0,50.8,962.0,32.0,2.38,0.6409999999999999,0.826,0.7020000000000001,0.653,0.316,0.095,0.957,0.985,0.857,0.871,,,0.204,0.019,0.967,0.7559999999999999,0.608,0.275
Brazil,6.1,0.069,0.115,1.491,,0.267,3.165,34.948,6.608,12.368,SouthAmerica,8515767.0,209288.0,25.0,96.6,1772591.0,-3.8,8528.3,5.2,22.7,72.0,15.2,21.5,63.2,12.4,135.0,136.0,185235.0,137552.0,47683.0,-58882.0,0.9,85.7,1.2,1.8,,41.1,15.8,8.3,1.9,6.0,10.7,59.1,990.0,59.2,10948.0,61.0,0.06,0.56,0.782,0.784,0.71,0.217,0.126,1.138,1.168,1.022,0.972,0.593,0.424,5.297999999999999,0.026,1.0,0.87,0.88,0.515
Brunei Darussalam,4.5,,0.479,2.634,0.718,0.479,1.197,15.088,0.239,5.029,South-easternAsia,5765.0,429.0,81.3,106.0,12930.0,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,2.1,157.0,157.0,4875.0,2679.0,2197.0,2071.0,1.4,77.2,1.8,1.9,,20.5,6.5,2.6,1.5,4.4,9.1,71.2,193.0,72.1,679.0,357.0,,0.506,0.75,0.784,0.7509999999999999,0.23,0.08,1.082,1.081,0.963,0.959,0.386,0.235,0.091,0.218,,,,
Bulgaria,7.9,0.16699999999999998,0.307,0.307,5.935,1.783,7.2029999999999985,17.736,0.78,1.867,EasternEurope,111002.0,7085.0,65.3,94.6,48953.0,3.0,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,117.0,119.0,26088.0,28875.0,-2787.0,196.0,-0.6,73.9,-0.3,1.5,,33.7,8.3,8.4,4.0,4.1,19.2,56.7,104.0,35.1,474.0,103.0,,0.485,0.601,0.778,0.708,0.142,0.277,0.967,0.977,0.974,1.005,0.8290000000000001,0.654,0.424,0.059,0.996,0.99,0.868,0.8370000000000001
Burkina Faso,14.8,,0.287,,,,0.039,0.635,0.011,0.022,WesternAfrica,272967.0,19193.0,70.2,99.5,11065.0,4.1,611.1,34.5,21.8,43.7,80.0,4.9,15.1,2.9,131.0,134.0,2019.0,3699.0,-1680.0,-998.0,3.0,29.9,5.9,5.6,,32.7,64.8,5.0,,4.1,11.0,11.4,31.0,19.8,123.0,9.0,9.11,0.765,0.905,0.593,0.58,0.452,0.039,0.861,0.899,0.322,0.35100000000000003,0.038,0.073,0.028,0.001,0.975,0.758,0.504,0.067
Cambodia,5.9,,0.006,1.134,,,0.387,0.277,,7.089,South-easternAsia,181035.0,16005.0,90.7,95.3,18050.0,7.0,1158.7,28.2,29.4,42.3,42.4,19.6,38.0,0.3,175.0,177.0,13204.0,15313.0,-2109.0,-1657.0,1.6,20.7,2.6,2.7,,0.3,29.9,5.7,0.2,1.9,20.3,19.0,255.0,54.3,178.0,17.0,3.97,0.7559999999999999,0.87,0.696,0.655,0.313,0.071,1.162,1.171,,,0.118,0.14300000000000002,0.067,0.004,1.0,0.691,0.8809999999999999,0.305
Chad,15.5,,0.006999999999999999,0.006999999999999999,,,0.006999999999999999,0.021,0.006999999999999999,,MiddleAfrica,1284000.0,14900.0,11.8,100.2,10009.0,6.6,713.0,25.4,39.0,35.6,76.6,2.0,21.4,5.8,146.0,151.0,1990.0,1371.0,619.0,,3.3,22.5,3.4,6.3,,512.3,91.2,3.6,,2.8,12.8,2.7,43.0,4.0,288.0,6.0,5.74,0.64,0.7929999999999999,0.528,0.505,0.471,0.04,0.88,1.146,0.14,0.307,0.011,0.057,0.006999999999999999,,0.718,0.448,0.314,0.065
Chile,9.7,0.023,0.175,0.8390000000000001,0.315,1.171,6.97,1.88,,,SouthAmerica,756102.0,18055.0,24.3,98.2,240796.0,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111.0,111.0,59884.0,58804.0,1080.0,-4761.0,0.9,89.5,1.1,1.8,,3.7,7.4,7.8,,4.9,15.8,64.3,197.0,23.4,540.0,85.0,0.02,0.507,0.747,0.813,0.762,0.203,0.16,1.0,1.033,1.013,1.0,0.944,0.83,0.826,0.047,0.997,0.933,1.0,0.909
Colombia,7.0,1.988,0.222,0.292,,,1.835,0.0,,,SouthAmerica,1141748.0,49066.0,44.2,96.8,292080.0,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,114.0,115.0,31045.0,44831.0,-13786.0,-18922.0,1.0,76.4,1.7,1.9,,7127.0,17.9,7.2,,4.5,18.7,55.9,835.0,52.8,5380.0,31.0,0.47,0.58,0.7979999999999999,0.774,0.7020000000000001,0.235,0.116,1.116,1.154,1.015,0.948,0.599,0.515,0.841,0.018000000000000002,0.968,0.738,0.852,0.679
Congo,9.3,,0.04,0.02,,,0.08,0.5,0.02,0.02,MiddleAfrica,342000.0,5261.0,15.4,100.1,8493.0,1.2,1838.1,4.7,70.0,25.3,40.7,25.8,33.5,11.5,106.0,106.0,2540.0,9793.0,-7253.0,,2.6,65.4,3.2,4.9,,54.9,46.5,5.2,,,7.4,7.6,134.0,65.4,648.0,24.0,1.05,0.6709999999999999,0.726,0.6409999999999999,0.61,0.423,0.052000000000000005,1.148,1.07,0.506,0.584,0.083,0.111,0.031,0.006999999999999999,0.958,0.4,0.2,0.056
Costa Rica,7.5,0.042,0.042,1.706,0.125,0.042,3.931,5.699,76.957,142.018,CentralAmerica,51100.0,4906.0,96.1,100.1,52958.0,3.7,11015.0,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127.0,129.0,9908.0,15322.0,-5414.0,-2493.0,1.1,76.8,2.7,1.9,,10.1,9.3,9.3,1.2,7.2,35.1,59.8,340.0,53.4,110.0,44.0,0.22,0.469,0.765,0.8170000000000001,0.767,0.21600000000000005,0.136,1.095,1.101,1.256,1.207,0.609,0.466,0.078,0.016,0.996,0.919,0.952,0.923
Croatia,11.5,0.165,0.519,3.093,0.8029999999999999,,11.095,41.856,1.298,4.367,SouthernEurope,56594.0,4189.0,74.9,93.1,48676.0,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64.0,11.7,91.0,91.0,13648.0,21830.0,-8182.0,2492.0,-0.4,59.0,0.1,1.5,,15.5,3.9,7.8,3.1,4.6,19.9,69.8,176.0,34.3,182.0,79.0,,0.463,0.584,0.804,0.736,0.147,0.268,0.981,0.978,1.006,0.959,0.7979999999999999,0.588,0.168,0.04,0.996,0.997,0.978,0.958
Cuba,10.1,0.166,0.14800000000000002,2.932,0.445,1.213,9.056,8.899,1.335,31.061,Caribbean,109884.0,11485.0,107.9,100.1,87206.0,4.4,7656.6,5.0,20.5,74.5,12.9,11.7,75.3,3.0,100.0,101.0,18000.0,4911.0,13089.0,,0.2,77.1,0.1,1.7,,0.4,5.5,11.1,7.5,,48.9,31.1,339.0,30.2,212.0,47.0,,0.421,0.6829999999999999,0.813,0.7709999999999999,0.16,0.201,0.949,1.001,1.027,0.982,0.43,0.301,0.348,0.03,0.964,0.898,0.944,0.8909999999999999
Dominican Republic,10.5,,0.076,1.7480000000000002,0.019,,2.28,,0.294,7.598,Caribbean,48671.0,10767.0,222.8,99.2,67103.0,7.0,6373.6,6.6,28.0,65.4,13.1,16.9,70.0,14.4,136.0,138.0,3747.0,22725.0,-18978.0,-1335.0,1.2,79.0,2.6,2.5,,1.3,25.1,4.4,1.5,,26.8,51.9,184.0,40.4,28.0,28.0,0.43,0.523,0.7859999999999999,0.764,0.7020000000000001,0.293,0.102,0.987,1.081,0.8170000000000001,0.741,0.65,0.354,0.215,0.021,0.8540000000000001,0.8190000000000001,0.862,0.757
Ecuador,7.2,0.025,0.173,0.242,3.01,,0.458,0.056,0.019,7.662000000000001,SouthAmerica,257217.0,16625.0,66.9,99.9,100177.0,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,118.0,119.0,16798.0,16189.0,609.0,-2201.0,1.6,63.7,1.9,2.6,,133.1,21.1,9.2,1.7,5.0,41.6,48.9,2358.0,50.8,1247.0,42.0,0.31,0.491,0.799,0.784,0.728,0.284,0.105,1.079,1.074,1.092,1.053,0.453,0.34600000000000003,0.439,0.028,0.934,0.755,0.87,0.807
Egypt,4.4,0.019,,0.031,0.011,,1.6,4.799,0.448,0.256,NorthernAfrica,1002000.0,97553.0,98.0,102.3,315917.0,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,120.0,122.0,22507.0,58053.0,-35545.0,-16786.0,2.2,43.1,1.7,3.4,,256.5,18.9,5.6,0.8,,14.9,35.9,156.0,0.1,3509.0,36.0,0.78,0.231,0.762,0.73,0.687,0.335,0.079,1.038,1.041,0.8590000000000001,0.863,0.35600000000000004,0.369,2.019,0.022,1.0,0.99,0.968,0.931
El Salvador,13.5,0.032,0.253,0.7290000000000001,,,0.887,,0.301,2.075,CentralAmerica,21041.0,6378.0,307.8,88.5,25850.0,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,6.4,111.0,117.0,5335.0,9855.0,-4519.0,-920.0,0.5,66.7,1.4,2.2,,4.7,17.0,6.8,,3.5,32.1,26.9,86.0,13.0,86.0,28.0,0.36,0.495,0.795,0.7709999999999999,0.679,0.274,0.116,1.068,1.114,0.797,0.792,0.305,0.277,0.063,0.01,0.975,0.865,0.8240000000000001,0.6
Eritrea,13.8,0.021,0.206,0.227,,,,2.166,0.041,0.083,EasternAfrica,117600.0,5069.0,50.2,100.4,4783.0,4.8,914.9,17.2,23.5,59.3,57.0,7.6,35.4,7.3,109.0,109.0,16.0,3325.0,-3310.0,,2.0,22.6,5.1,4.4,,2.3,45.0,3.3,,,22.0,1.1,122.0,15.0,27.0,7.0,,0.778,0.901,0.6559999999999999,0.614,0.418,0.053,0.459,0.532,0.281,0.329,0.017,0.034,0.006999999999999999,0.001,0.732,0.5329999999999999,0.446,0.073
Estonia,14.4,0.152,0.684,14.82,17.176,3.4960000000000004,16.188,23.484,0.532,6.46,NorthernEurope,45227.0,1310.0,30.9,88.2,22460.0,1.4,17112.0,3.4,27.4,69.2,3.8,29.0,67.3,7.2,136.0,136.0,13952.0,15759.0,-1807.0,493.0,-0.3,67.5,-0.4,1.6,,84.2,3.2,6.4,3.3,5.5,26.7,88.4,23.0,52.7,242.0,193.0,,0.5539999999999999,0.6940000000000001,0.812,0.718,0.16399999999999998,0.259,0.985,0.983,1.147,1.156,0.848,0.5539999999999999,0.195,0.14800000000000002,1.0,0.99,0.975,0.966
Fiji,5.5,0.112,0.336,3.363,0.112,,0.224,1.457,0.56,0.56,Melanesia,18272.0,906.0,49.6,103.1,4391.0,3.6,4921.9,11.3,18.1,70.7,21.3,2.9,75.8,7.7,88.0,88.0,926.0,2316.0,-1391.0,-72.0,0.7,53.7,1.5,2.6,,,16.0,4.5,,3.9,16.0,46.3,291.0,55.4,8.0,26.0,2.46,0.37,0.7120000000000001,0.7290000000000001,0.669,0.285,0.099,1.051,1.06,0.934,0.843,,,0.012,0.013,0.995,0.912,0.934,0.884
Gabon,9.6,0.052000000000000005,,0.052000000000000005,,,0.259,0.518,0.104,0.777,MiddleAfrica,267668.0,2025.0,7.9,105.6,13735.0,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,18.1,97.0,92.0,2851.0,2930.0,-79.0,,3.3,87.2,2.7,4.0,,2.9,40.8,3.4,,2.7,17.1,23.5,270.0,88.5,559.0,64.0,0.73,0.407,0.583,0.6579999999999999,0.631,0.359,0.064,1.399,1.44,,,,,0.052000000000000005,0.031,0.972,0.667,0.434,0.315
Georgia,6.7,0.228,0.076,0.6829999999999999,0.101,,6.706,5.9220000000000015,,2.3280000000000003,WesternAsia,69700.0,3912.0,56.3,91.4,13965.0,2.8,3491.4,9.0,24.1,66.9,44.7,11.2,44.1,11.4,85.0,86.0,2114.0,7236.0,-5122.0,-1775.0,-1.4,53.6,-0.1,2.0,,274.1,11.2,7.4,4.8,2.0,16.0,45.2,120.0,40.6,61.0,47.0,3.3,0.579,0.79,0.77,0.685,0.192,0.208,1.182,1.155,1.038,1.036,0.478,0.392,0.09,0.022,1.0,1.0,0.952,0.759
Ghana,8.7,0.011,1.095,2.378,0.018000000000000002,0.015,0.058,7.733,,0.065,WesternAfrica,238537.0,28834.0,126.7,99.3,37156.0,3.9,1355.6,19.0,26.9,54.1,41.9,14.2,43.8,5.9,144.0,144.0,7221.0,11939.0,-4718.0,-2809.0,2.4,54.0,3.4,4.2,,27.3,46.5,3.6,,6.2,12.7,23.5,238.0,40.9,410.0,14.0,4.81,0.757,0.7879999999999999,0.626,0.607,0.385,0.053,1.087,1.073,0.611,0.631,0.132,0.191,0.145,0.006,0.926,0.84,0.202,0.086
Greece,3.8,0.027000000000000003,0.33,1.346,1.319,6.178,5.803,12.748,3.459,8.781,SouthernEurope,131957.0,11160.0,86.6,96.9,194860.0,-0.2,17788.0,4.1,15.7,80.2,12.9,15.0,72.1,23.0,86.0,87.0,27811.0,47595.0,-19784.0,218.0,-0.4,78.0,0.5,1.3,,94.7,3.3,8.1,6.3,,18.3,66.8,374.0,31.2,368.0,89.0,,0.441,0.601,0.833,0.78,0.142,0.265,0.971,0.981,1.034,1.095,1.137,1.14,0.6729999999999999,0.061,1.0,1.0,0.992,0.981
Grenada,1.7,0.936,0.936,10.297,,,1.872,0.936,2.8080000000000003,,Caribbean,345.0,108.0,317.1,100.9,954.0,6.2,8933.8,8.3,13.9,77.8,,,,,103.0,103.0,30.0,350.0,-320.0,-213.0,0.4,35.6,0.3,2.2,,,9.6,6.1,,,33.3,53.8,54.0,50.0,0.0,35.0,2.55,,,0.7559999999999999,0.708,0.263,0.105,1.029,1.068,0.99,0.994,0.979,0.845,0.002,0.023,0.99,0.953,0.975,0.983
Guatemala,2.9,0.006,0.006,1.4340000000000002,,0.006,0.4920000000000001,1.071,0.006,46.147,CentralAmerica,108889.0,16914.0,157.8,96.9,63794.0,4.1,3903.5,10.8,27.2,62.0,32.0,18.5,49.4,2.4,158.0,158.0,10572.0,16987.0,-6415.0,-96.0,2.1,51.6,3.4,3.2,,1.8,26.9,6.2,,3.0,12.7,27.1,290.0,33.4,327.0,32.0,0.66,0.417,0.84,0.7559999999999999,0.6920000000000001,0.35100000000000003,0.069,0.998,1.038,0.633,0.679,0.235,0.202,0.183,0.011,0.984,0.868,0.775,0.493
Guinea,10.5,,0.008,,,,0.025,,0.008,0.008,WesternAfrica,245857.0,12717.0,51.8,100.6,8875.0,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,130.0,131.0,1753.0,2082.0,-329.0,-1240.0,2.3,37.2,3.8,5.1,,9.2,65.7,5.6,,3.2,21.9,4.7,185.0,26.0,113.0,12.0,8.65,0.794,0.851,0.584,0.574,0.423,0.052000000000000005,0.838,0.986,0.307,0.468,0.067,0.149,0.024,0.002,0.927,0.674,0.341,0.118
Guinea-Bissau,7.4,0.056,,0.056,,,,0.7909999999999999,0.16899999999999998,0.113,WesternAfrica,36125.0,1861.0,66.2,96.9,978.0,4.8,530.0,45.0,14.5,40.5,60.1,5.8,34.1,6.5,137.0,138.0,885.0,212.0,673.0,-53.0,2.6,49.3,4.1,4.9,,8.8,80.4,5.6,,2.2,13.7,3.5,77.0,70.5,25.0,17.0,9.03,0.674,0.785,0.5770000000000001,0.5429999999999999,0.415,0.049,,,,,,,0.003,0.001,0.988,0.603,0.335,0.085
Guyana,30.2,0.13,0.13,0.26,,,0.911,,,0.0,SouthAmerica,214969.0,778.0,4.0,101.9,3282.0,3.1,4278.8,17.6,31.7,50.6,18.4,25.4,56.2,11.3,142.0,143.0,1453.0,1625.0,-172.0,-144.0,0.6,28.6,0.8,2.6,,,33.2,5.2,,3.2,31.9,38.2,94.0,84.0,7.0,46.0,0.97,0.419,0.77,0.6859999999999999,0.64,0.29,0.086,0.8390000000000001,0.8690000000000001,0.89,0.897,0.168,0.08199999999999999,0.02,0.026,0.982,0.983,0.879,0.82
Haiti,12.2,0.019,0.009000000000000001,0.131,,,0.075,0.233,0.373,0.56,Caribbean,27750.0,10981.0,398.4,97.8,8501.0,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,163.0,166.0,984.0,3316.0,-2332.0,-723.0,1.4,58.6,3.8,3.1,,1.9,46.9,7.6,,,2.6,12.2,205.0,3.5,136.0,16.0,11.73,0.62,0.7170000000000001,0.644,0.602,0.33,0.073,,,,,,,0.029,0.003,0.649,0.476,0.336,0.192
Hungary,13.6,,2.647,8.269,0.02,0.28600000000000003,11.079,33.739000000000004,,2.484,EasternEurope,93024.0,9722.0,107.4,90.7,121715.0,3.1,12350.6,4.1,31.9,64.0,4.3,29.8,65.9,4.5,99.0,99.0,103071.0,92044.0,11027.0,3946.0,-0.3,71.2,0.5,1.3,,14.4,4.9,7.4,3.3,4.7,10.1,72.8,66.0,22.8,423.0,97.0,,0.466,0.624,0.7879999999999999,0.7170000000000001,0.14300000000000002,0.26,1.013,1.019,1.053,1.051,0.5670000000000001,0.453,0.421,0.043,1.0,1.0,0.978,0.986
India,16.5,0.01,0.03,0.17600000000000002,0.023,0.017,0.292,0.7959999999999999,0.065,0.069,SouthernAsia,3287263.0,1339180.0,450.4,107.6,2116239.0,7.6,1614.2,17.0,29.7,53.2,44.3,24.5,31.2,3.4,143.0,142.0,260327.0,356705.0,-96378.0,-22457.0,1.2,32.7,2.4,2.4,,211.1,41.3,4.7,0.7,3.8,11.8,26.0,1052.0,23.7,23103.0,27.0,0.16,0.27,0.7909999999999999,0.691,0.662,0.278,0.094,1.151,1.028,0.745,0.735,0.267,0.27,22.384,0.017,0.971,0.926,0.626,0.285
Indonesia,3.7,0.019,0.104,,,,0.31,2.518,,0.175,South-easternAsia,1910931.0,263991.0,145.7,101.4,861934.0,4.8,3346.5,14.0,41.3,44.7,31.4,22.4,46.2,5.8,139.0,140.0,144490.0,135653.0,8837.0,-17697.0,1.2,53.7,2.7,2.4,,13.8,25.0,2.8,0.2,3.6,19.8,22.0,1281.0,50.6,19481.0,35.0,0.0,0.51,0.8370000000000001,0.7070000000000001,0.6659999999999999,0.274,0.086,1.044,1.072,0.86,0.857,0.257,0.229,4.642,0.018000000000000002,0.942,0.795,0.723,0.475
Israel,5.2,0.161,0.136,,,1.6369999999999998,9.87,,,88.089,WesternAsia,22072.0,8322.0,384.5,98.7,299413.0,2.5,37129.4,1.3,21.2,77.5,1.0,17.9,81.0,5.9,112.0,112.0,60571.0,65803.0,-5232.0,13642.0,1.6,92.1,1.4,3.0,,44.7,3.4,7.8,3.6,5.8,27.5,78.9,174.0,7.5,313.0,119.0,,0.585,0.69,0.8370000000000001,0.8,0.279,0.161,1.051,1.044,1.03,1.02,0.755,0.546,0.6459999999999999,0.081,1.0,1.0,1.0,1.0
Japan,14.3,8.314,0.45,7.223,3.759,0.366,11.867,83.805,8.328,3.037,EasternAsia,377930.0,127484.0,349.7,95.4,4383076.0,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3.0,96.0,97.0,644932.0,606924.0,38008.0,135608.0,-0.1,93.5,0.6,1.4,,19.4,2.2,10.2,2.3,3.6,9.3,93.3,404.0,68.5,1114.0,146.0,,0.489,0.6970000000000001,0.8640000000000001,0.8,0.129,0.334,1.012,1.013,1.019,1.016,0.609,0.657,12.14,0.096,1.0,1.0,1.0,1.0
Jordan,3.7,0.055,0.033,0.513,,,1.125,3.297,0.218,1.266,WesternAsia,89318.0,9702.0,109.3,102.6,37517.0,2.4,4940.1,4.0,27.7,68.4,2.0,17.8,80.2,13.4,134.0,135.0,7509.0,19207.0,-11698.0,-3332.0,4.9,83.7,3.8,3.6,,721.4,17.1,7.5,2.6,,15.4,53.4,113.0,1.1,7.0,47.0,5.8,0.145,0.645,0.755,0.722,0.355,0.057,0.976,0.971,0.848,0.802,0.473,0.425,0.265,0.036000000000000004,0.978,0.923,0.986,0.989
Kenya,5.6,0.002,0.032,0.068,,,0.184,,,,EasternAfrica,591958.0,49700.0,87.3,98.8,63399.0,5.6,1376.7,32.0,19.0,49.0,61.9,8.6,29.5,10.8,126.0,126.0,5688.0,14109.0,-8420.0,-6339.0,2.7,25.6,4.3,4.1,,582.4,39.4,5.7,0.2,5.3,19.4,45.6,480.0,7.7,750.0,20.0,3.93,0.624,0.7240000000000001,0.6779999999999999,0.63,0.405,0.043,1.087,1.093,,,,,0.14300000000000002,0.003,0.816,0.568,0.312,0.297
Kyrgyzstan,9.1,0.085,0.136,1.159,0.051,,1.6880000000000002,7.365,,0.409,CentralAsia,199949.0,6045.0,31.5,98.4,6572.0,3.5,1106.4,15.4,25.9,58.7,29.2,21.0,49.8,7.7,108.0,110.0,1423.0,3844.0,-2421.0,-721.0,1.6,35.7,1.6,3.1,,8.2,19.6,6.5,1.9,5.5,19.2,30.2,44.0,3.4,80.0,27.0,12.16,0.4970000000000001,0.775,0.743,0.664,0.318,0.076,1.068,1.079,0.928,0.914,0.5329999999999999,0.408,0.096,0.017,0.967,0.862,0.8909999999999999,0.956
Liberia,13.4,0.022,0.067,0.622,,,0.044,6.401,1.4,,WesternAfrica,111369.0,4732.0,49.1,101.8,2053.0,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43.0,4.1,104.0,121.0,641.0,727.0,-86.0,-860.0,2.6,49.7,3.4,4.8,,22.1,59.0,10.0,,2.8,12.3,5.9,172.0,43.7,73.0,19.0,61.73,0.579,0.6409999999999999,0.616,0.598,0.418,0.049,0.8909999999999999,0.985,0.325,0.419,0.09,0.142,0.009000000000000001,0.002,0.8859999999999999,0.626,0.28,0.059
Lithuania,25.7,0.136,0.682,3.922,,,18.452,49.76300000000001,,15.86,NorthernEurope,65286.0,2890.0,46.1,85.4,41402.0,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,125.0,125.0,25025.0,27501.0,-2476.0,-977.0,-1.3,66.5,-0.5,1.6,,4.7,4.4,6.6,4.3,4.6,21.3,71.4,26.0,34.8,74.0,98.0,,0.541,0.6609999999999999,0.7929999999999999,0.685,0.14800000000000002,0.253,1.037,1.032,1.061,1.103,0.82,0.5579999999999999,0.128,0.044,0.997,0.904,0.972,0.828
Madagascar,6.9,0.021,0.045,,0.004,0.008,0.058,0.314,0.05,0.062,EasternAfrica,587295.0,25571.0,44.0,99.5,9739.0,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119.0,120.0,2256.0,2965.0,-709.0,-622.0,2.7,35.1,4.7,4.4,,0.1,36.8,3.0,0.1,2.1,19.2,4.2,1324.0,21.5,129.0,7.0,7.05,0.838,0.89,0.66,0.63,0.41,0.048,1.489,1.489,0.381,0.388,0.046,0.05,0.031,0.001,0.816,0.353,0.18,0.087
Malaysia,6.2,0.013,0.153,0.316,3.1180000000000003,,1.048,6.837999999999999,,1.029,South-easternAsia,330323.0,31624.0,96.3,106.7,296284.0,5.0,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,122.0,130.0,189414.0,168375.0,21039.0,8960.0,1.8,74.7,2.7,2.1,,238.6,6.5,4.2,1.3,5.0,10.4,71.1,1272.0,67.5,3738.0,118.0,0.0,0.493,0.778,0.7709999999999999,0.726,0.243,0.097,1.019,1.017,0.807,0.746,0.318,0.208,2.428,0.081,1.0,0.93,0.961,0.959
Mali,8.9,,0.006,,,,0.029,0.092,,0.011,WesternAfrica,1240192.0,18542.0,15.2,100.2,13100.0,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,154.0,157.0,3030.0,2510.0,520.0,-676.0,2.9,39.9,5.1,6.4,,90.8,78.5,7.0,,3.7,8.8,10.3,42.0,3.9,55.0,4.0,9.45,0.505,0.823,0.569,0.556,0.477,0.04,0.721,0.7929999999999999,0.368,0.456,0.041,0.096,0.014,0.001,0.965,0.6409999999999999,0.375,0.161
Mexico,5.2,0.029,0.006,0.126,0.079,0.012,0.207,2.239,0.53,3.459,CentralAmerica,1964375.0,129163.0,66.4,99.2,1140724.0,2.5,8980.9,3.6,36.0,60.4,13.4,25.2,61.3,4.1,120.0,120.0,373883.0,387064.0,-13181.0,-33216.0,1.4,79.2,1.6,2.3,,5.9,18.8,6.3,2.1,5.3,42.6,57.4,1162.0,34.0,8514.0,62.0,0.03,0.455,0.795,0.789,0.74,0.267,0.101,1.032,1.036,0.935,0.877,0.3,0.299,4.803,0.038,0.972,0.921,0.88,0.745
Mongolia,13.3,0.034,0.47,0.067,,,4.0310000000000015,4.199,0.101,0.101,EasternAsia,1564116.0,3076.0,2.0,97.9,11758.0,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51.0,6.3,147.0,149.0,4917.0,3358.0,1559.0,-948.0,1.9,72.0,2.8,2.8,,,22.8,4.7,2.9,4.6,17.1,21.4,41.0,8.1,677.0,84.0,2.21,0.568,0.693,0.727,0.645,0.297,0.066,1.0,1.018,0.924,0.905,0.797,0.5770000000000001,0.208,0.07200000000000001,0.664,0.5920000000000001,0.664,0.426
