Country,Suicide Rate 2016,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities,Psychiatrists,Nurses,Social_workers,Psychologists,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Threatened species (number),Forested area (% of land area),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Net Official Development Assist. received (% of GNI),Labour force participation (fe pop. %),Labour force participation (male pop. %),Life expectancy at birth (females years),"Life expectancy at birth (males, years)","Population age distribution (0-14 years, %)","Population age distribution (60+ years, %)",Education: Priary gross enrol. ratio (f per 100 pop.),Education: Primary gross enrol. ratio (m per 100 pop.),Education: Secondary gross enrol. ratio (f per 100 pop.),Education: Secondary gross enrol. ratio (m per 100 pop.),Education: Tertiary gross enrol. ratio (f per 100 pop.),Education: Tertiary gross enrol. ratio (m per 100 pop.),CO2 emission estimates (million tons),CO2 emission estimates (tons per capita),Pop. using improved drinking water (urban %),"Pop. using improved drinking water (rural, %)",Pop. using improved sanitation facilities (urban %),"Pop. using improved sanitation facilities (rural, %)"
South Africa,12.8,0.116,0.07200000000000001,0.11,,,1.521,,,,SouthernAfrica,1221037.0,56717.0,46.8,96.4,314571.0,1.3,5773.0,2.4,28.9,68.7,6.1,26.2,67.7,26.0,125.0,126.0,74111.0,74744.0,-633.0,-13644.0,1.4,64.8,1.6,2.6,,1201.9,36.5,8.8,0.8,6.0,42.2,51.9,581.0,7.6,7102.0,122.0,0.47,0.464,0.611,0.63,0.561,0.29,0.084,0.973,1.022,1.115,0.88,0.233,0.157,4.898,0.091,0.996,0.8140000000000001,0.696,0.605
South Sudan,6.1,,0.008,0.008,,,0.025,0.017,,0.261,EasternAfrica,658841.0,12576.0,20.6,100.4,13167.0,2.0,1067.0,4.6,58.0,37.4,,,,,,,2389.0,750.0,1640.0,-935.0,3.3,18.8,5.1,5.2,,2231.2,77.7,2.7,,1.8,28.5,17.9,49.0,,337.0,2.0,21.07,,,0.56,0.541,0.417,0.051,0.531,0.7490000000000001,0.066,0.123,,,0.015,0.001,0.667,0.569,0.16399999999999998,0.045
Syrian Arab Republic,2.4,0.016,0.016,2.263,,,0.368,1.068,0.8009999999999999,1.068,WesternAsia,185180.0,18270.0,99.5,102.1,28393.0,-5.3,1534.5,20.7,30.0,49.3,18.5,39.2,42.3,13.8,65.0,68.0,1265.0,2383.0,-1118.0,,-2.3,57.7,1.4,3.1,,6768.5,17.9,3.3,1.5,,13.2,30.0,132.0,2.7,237.0,24.0,,0.124,0.7090000000000001,0.763,0.644,0.366,0.068,0.787,0.8140000000000001,0.505,0.505,0.47,0.413,0.307,0.017,0.923,0.872,0.962,0.951
Tajikistan,3.3,0.035,0.129,0.16399999999999998,,,1.392,1.497,,,CentralAsia,142600.0,8921.0,63.7,100.9,7853.0,4.2,925.9,25.0,28.0,47.1,57.2,13.4,29.4,10.8,155.0,172.0,899.0,3030.0,-2132.0,-472.0,2.2,26.8,2.6,3.5,,21.8,38.9,6.9,1.7,5.2,19.0,19.0,45.0,3.0,76.0,14.0,4.55,0.596,0.779,0.735,0.677,0.353,0.058,1.012,0.998,0.831,0.925,0.24,0.336,0.052000000000000005,0.006,0.931,0.667,0.938,0.955
Thailand,12.9,0.028,0.151,1.3019999999999998,0.006999999999999999,,0.721,7.417999999999998,0.836,1.749,South-easternAsia,513120.0,69038.0,135.1,95.2,395168.0,2.8,5814.8,9.1,35.7,55.1,34.0,22.7,43.3,0.6,129.0,126.0,213927.0,195666.0,18260.0,32149.0,0.4,50.4,3.0,1.5,,554.1,11.2,4.1,,4.1,4.9,39.3,611.0,32.0,3338.0,83.0,0.02,0.627,0.7979999999999999,0.784,0.708,0.173,0.16899999999999998,0.992,1.061,1.253,1.3259999999999998,0.573,0.405,3.162,0.047,0.976,0.98,0.899,0.961
Timor-Leste,6.4,,0.081,6.527,,0.161,0.081,1.37,1.612,0.081,South-easternAsia,14919.0,1296.0,87.2,103.2,2873.0,4.3,2425.4,5.2,79.9,14.9,50.8,2.0,47.2,4.3,111.0,117.0,94.0,647.0,-553.0,238.0,2.2,32.8,3.8,5.9,,,43.9,1.5,0.1,7.8,38.5,13.4,24.0,46.9,143.0,7.0,8.89,0.269,0.556,0.695,0.6609999999999999,0.436,0.054000000000000006,1.362,1.375,0.7959999999999999,0.741,,,0.005,0.004,0.952,0.605,0.69,0.268
Togo,16.6,0.013,0.108,0.04,,0.04,0.054000000000000006,0.27,0.054000000000000006,0.404,WesternAfrica,56785.0,7798.0,143.4,99.4,4086.0,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140.0,143.0,715.0,1716.0,-1001.0,-461.0,2.6,40.0,3.8,4.7,,13.8,55.7,5.2,,5.2,17.6,7.1,80.0,3.8,111.0,20.0,5.51,0.81,0.807,0.598,0.583,0.416,0.046,1.185,1.251,,,0.064,0.149,0.026,0.004,0.914,0.442,0.247,0.029
Tonga,4.0,0.0,0.94,0.94,,,2.821,16.923,,1.88,Polynesia,747.0,108.0,150.0,100.7,402.0,3.8,3784.5,22.4,21.5,56.1,33.3,28.2,38.5,4.8,134.0,134.0,14.0,209.0,-196.0,-33.0,0.4,23.7,0.7,3.8,,,20.6,5.2,,,3.8,45.0,79.0,12.5,0.0,15.0,18.3,0.529,0.7390000000000001,0.7559999999999999,0.696,0.358,0.085,1.075,1.086,0.942,0.8640000000000001,,,0.001,0.011,0.997,0.996,0.976,0.89
Turkey,7.2,0.011,0.455,0.19,,0.174,1.6369999999999998,150.251,1.643,2.537,WesternAsia,783562.0,80745.0,104.9,97.0,717888.0,4.0,9125.8,8.6,26.4,65.0,19.6,27.5,52.9,10.8,120.0,122.0,142606.0,198602.0,-55996.0,-32278.0,1.6,73.4,2.0,2.1,,3006.3,12.6,5.4,1.7,4.8,14.9,53.7,388.0,15.1,1303.0,65.0,0.3,0.304,0.7140000000000001,0.7809999999999999,0.715,0.25,0.12,1.021,1.028,1.011,1.038,0.883,1.01,3.46,0.045,1.0,1.0,0.983,0.855
Uganda,20.0,0.002,0.032,0.942,,,0.08199999999999999,2.242,0.037000000000000005,0.037000000000000005,EasternAfrica,241550.0,42863.0,214.5,99.0,25282.0,5.4,647.7,25.6,21.5,52.9,72.0,7.4,20.5,2.4,93.0,90.0,2755.0,3750.0,-996.0,-2353.0,3.4,16.1,5.4,5.9,,727.1,60.2,7.2,,2.2,34.3,19.2,196.0,11.0,409.0,12.0,6.35,0.823,0.877,0.607,0.565,0.477,0.033,1.109,1.089,0.221,0.243,0.042,0.054000000000000006,0.052000000000000005,0.001,0.955,0.758,0.285,0.173
Ukraine,18.5,0.139,0.052000000000000005,0.049,1.5759999999999998,,6.93,,,,EasternEurope,603500.0,44223.0,76.3,86.0,90615.0,-9.9,2021.6,14.0,26.3,59.7,15.7,24.6,59.7,8.8,137.0,137.0,36369.0,39184.0,-2815.0,-189.0,-0.5,69.7,-0.3,1.5,,1644.8,8.8,7.1,3.0,5.9,12.3,49.3,102.0,16.6,3203.0,98.0,1.63,0.523,0.675,0.76,0.6609999999999999,0.155,0.232,1.051,1.028,0.982,1.002,0.884,0.765,2.273,0.051,0.955,0.978,0.974,0.926
United Arab Emirates,2.7,0.011,0.055,0.524,,0.033,1.649,4.37,0.36,0.765,WesternAsia,83600.0,9400.0,112.4,262.4,370296.0,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,70.0,70.0,195613.0,201908.0,-6296.0,,2.0,85.5,2.9,1.8,,1.3,6.2,3.6,1.6,,20.0,91.2,56.0,3.8,8642.0,366.0,,0.417,0.908,0.782,0.76,0.139,0.024,1.16,1.167,,,,,2.114,0.232,0.996,1.0,0.98,0.952
United States of America,13.7,0.189,0.349,0.373,,,10.542,4.283,60.338,29.864,NorthernAmerica,9833517.0,324460.0,35.5,98.0,18036648.0,2.6,56053.8,1.0,19.7,79.3,1.5,17.2,81.3,4.9,111.0,113.0,1453167.0,2249661.0,-796494.0,-462961.0,0.7,81.6,1.0,1.9,,616.5,6.0,17.1,2.6,5.4,19.1,74.6,1513.0,33.9,83887.0,289.0,,0.557,0.6809999999999999,0.812,0.765,0.189,0.215,1.0,1.003,0.985,0.967,0.996,0.728,52.543,0.162,0.994,0.982,1.0,1.0
Uruguay,16.5,0.321,0.6990000000000001,,0.612,,14.134,,,,SouthAmerica,173626.0,3457.0,19.8,93.5,53442.0,1.0,15573.8,6.8,28.0,65.2,8.7,20.5,70.8,8.8,129.0,130.0,6964.0,8137.0,-1173.0,-1141.0,0.3,95.3,0.5,2.0,,0.5,12.7,8.6,,4.4,20.2,64.6,106.0,10.4,113.0,58.0,0.04,0.556,0.763,0.804,0.732,0.211,0.195,1.073,1.098,1.0,0.903,,,0.067,0.02,1.0,0.939,0.966,0.926
Uzbekistan,7.4,0.081,0.013,0.084,0.052000000000000005,,2.612,9.214,,0.09,CentralAsia,448969.0,31911.0,75.0,99.4,69004.0,6.8,2308.3,19.2,32.9,47.9,29.0,23.9,47.1,8.9,158.0,174.0,27947.0,25652.0,2295.0,,1.6,36.4,1.4,2.4,,86.7,31.3,5.8,2.5,,16.0,42.8,59.0,7.6,2339.0,62.0,0.66,0.485,0.7659999999999999,0.735,0.6809999999999999,0.28,0.076,1.032,1.056,0.951,0.968,0.071,0.11,1.052,0.036000000000000004,0.985,0.809,1.0,1.0
Vanuatu,5.4,,0.7559999999999999,2.645,,,0.378,4.535,0.378,0.7559999999999999,Melanesia,12189.0,276.0,22.7,102.4,737.0,-1.0,2783.0,26.7,8.4,64.9,61.4,6.8,31.8,5.3,123.0,122.0,50.0,416.0,-366.0,-82.0,2.3,26.1,3.4,3.4,,,24.3,5.0,0.2,5.5,0.0,22.4,137.0,36.1,1.0,12.0,12.32,0.617,0.805,0.736,0.6940000000000001,0.359,0.067,1.187,1.206,0.564,0.534,,,0.002,0.006,0.989,0.929,0.6509999999999999,0.5539999999999999
Yemen,9.8,0.033,0.026,0.063,,,0.201,0.32299999999999995,0.056,0.409,WesternAsia,527968.0,28250.0,53.5,102.1,29688.0,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,136.0,137.0,570.0,6861.0,-6291.0,-3026.0,2.6,34.6,4.0,4.4,,3371.4,47.2,5.6,0.3,,0.0,25.1,298.0,1.0,668.0,12.0,2.99,0.262,0.737,0.6559999999999999,0.628,0.399,0.046,0.889,1.057,0.395,0.574,0.061,0.13699999999999998,0.227,0.009000000000000001,0.72,0.465,0.925,0.341
Zambia,11.3,0.062,0.062,0.205,,0.019,0.056,1.429,0.019,0.031,EasternAfrica,752612.0,17094.0,23.0,98.5,21255.0,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,7.4,179.0,180.0,6505.0,7442.0,-937.0,-768.0,3.0,40.9,4.3,5.2,,55.3,53.8,5.0,0.2,,18.0,21.0,88.0,65.6,374.0,26.0,3.96,0.6990000000000001,0.809,0.619,0.575,0.448,0.037000000000000005,1.04,1.033,,,0.034,0.045,0.045,0.003,0.856,0.513,0.556,0.35700000000000004
Zimbabwe,19.1,0.025,0.025,0.057,0.006,0.051,0.095,3.486,0.634,0.057,EasternAfrica,390757.0,16530.0,42.7,95.0,13893.0,1.1,890.4,13.0,30.5,56.5,67.5,7.3,25.2,5.0,99.0,98.0,2832.0,5212.0,-2379.0,-1521.0,2.3,32.4,2.3,4.0,,308.6,46.5,6.0,0.1,8.4,32.6,16.4,89.0,37.2,482.0,30.0,6.0,0.78,0.875,0.59,0.561,0.412,0.042,0.991,1.008,0.471,0.481,0.08,0.08900000000000001,0.12,0.008,0.97,0.6729999999999999,0.493,0.308
